# alpha	CL	CDi
0.000000000000000000e+00 1.789999999999999925e-01 1.199999999999999895e-03
1.000000000000000000e+00 2.634000000000000230e-01 2.599999999999999881e-03
2.000000000000000000e+00 3.473999999999999866e-01 4.599999999999999922e-03
3.000000000000000000e+00 4.314000000000000057e-01 7.000000000000000146e-03
4.000000000000000000e+00 5.150000000000000133e-01 9.799999999999999684e-03
5.000000000000000000e+00 5.984000000000000430e-01 1.340000000000000045e-02
6.000000000000000000e+00 6.814000000000000057e-01 1.720000000000000001e-02
7.000000000000000000e+00 7.640000000000000124e-01 2.179999999999999993e-02
8.000000000000000000e+00 8.461999999999999522e-01 2.659999999999999865e-02
9.000000000000000000e+00 9.277999999999999581e-01 3.200000000000000067e-02
1.000000000000000000e+01 1.008999999999999897e+00 3.780000000000000027e-02
1.100000000000000000e+01 1.089399999999999924e+00 4.399999999999999745e-02
