# alpha	CL	CDi
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 8.440000000000000280e-02 2.000000000000000096e-04
2.000000000000000000e+00 1.685999999999999999e-01 1.000000000000000021e-03
3.000000000000000000e+00 2.528000000000000247e-01 2.399999999999999790e-03
4.000000000000000000e+00 3.367999999999999883e-01 4.199999999999999740e-03
5.000000000000000000e+00 4.205999999999999739e-01 6.599999999999999964e-03
6.000000000000000000e+00 5.041999999999999815e-01 9.400000000000000369e-03
7.000000000000000000e+00 5.874000000000000332e-01 1.280000000000000061e-02
8.000000000000000000e+00 6.703999999999999959e-01 1.660000000000000017e-02
9.000000000000000000e+00 7.528000000000000247e-01 2.100000000000000130e-02
1.000000000000000000e+01 8.347999999999999865e-01 2.580000000000000002e-02
1.100000000000000000e+01 9.162000000000000144e-01 3.099999999999999978e-02
