# alpha	CL	CDi
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 8.359999999999999376e-02 2.000000000000000096e-04
2.000000000000000000e+00 1.671999999999999875e-01 1.000000000000000021e-03
3.000000000000000000e+00 2.505999999999999894e-01 2.399999999999999790e-03
4.000000000000000000e+00 3.340000000000000191e-01 4.199999999999999740e-03
5.000000000000000000e+00 4.169999999999999818e-01 6.400000000000000307e-03
6.000000000000000000e+00 4.998000000000000220e-01 9.199999999999999845e-03
7.000000000000000000e+00 5.824000000000000288e-01 1.239999999999999956e-02
8.000000000000000000e+00 6.643999999999999906e-01 1.619999999999999912e-02
9.000000000000000000e+00 7.461999999999999744e-01 2.040000000000000147e-02
1.000000000000000000e+01 8.276000000000000023e-01 2.520000000000000018e-02
1.100000000000000000e+01 9.082000000000000073e-01 3.020000000000000115e-02
