# alpha	CL	CDi
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 8.559999999999999554e-02 2.000000000000000096e-04
2.000000000000000000e+00 1.711999999999999911e-01 1.000000000000000021e-03
3.000000000000000000e+00 2.567999999999999727e-01 2.399999999999999790e-03
4.000000000000000000e+00 3.422000000000000042e-01 4.199999999999999740e-03
5.000000000000000000e+00 4.272000000000000242e-01 6.599999999999999964e-03
6.000000000000000000e+00 5.121999999999999886e-01 9.599999999999999159e-03
7.000000000000000000e+00 5.966000000000000192e-01 1.299999999999999940e-02
8.000000000000000000e+00 6.807999999999999607e-01 1.679999999999999896e-02
9.000000000000000000e+00 7.645999999999999464e-01 2.120000000000000009e-02
1.000000000000000000e+01 8.477999999999999980e-01 2.599999999999999881e-02
1.100000000000000000e+01 9.305999999999999828e-01 3.139999999999999736e-02
