# alpha	CL	CDi
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 8.419999999999999707e-02 2.000000000000000096e-04
2.000000000000000000e+00 1.683999999999999941e-01 1.000000000000000021e-03
3.000000000000000000e+00 2.524000000000000132e-01 2.399999999999999790e-03
4.000000000000000000e+00 3.363999999999999768e-01 4.199999999999999740e-03
5.000000000000000000e+00 4.202000000000000179e-01 6.599999999999999964e-03
6.000000000000000000e+00 5.038000000000000256e-01 9.400000000000000369e-03
7.000000000000000000e+00 5.872000000000000552e-01 1.280000000000000061e-02
8.000000000000000000e+00 6.702000000000000179e-01 1.679999999999999896e-02
9.000000000000000000e+00 7.528000000000000247e-01 2.120000000000000009e-02
1.000000000000000000e+01 8.347999999999999865e-01 2.599999999999999881e-02
1.100000000000000000e+01 9.165999999999999703e-01 3.119999999999999857e-02
